Date,TA35_Open,TA35_Close,dual_us_weighted_return,dual_us_fraction_up,dual_us_weight_sum,dual_us_normalized_return,Prev_Close,TA35_Return,Lag1_Return,RollingVol_5,Open_Gap,Open_Gap_Sign,ret_5d,ret_10d,ret_20d,ma_10,ma_20,dist_ma_10,dist_ma_20,vol_10,vol_20,Expiry_Date,Expiry_Close,Days_To_Expiry,Short_Strike,Long_Strike,Dist_To_Short_Pct,Dist_To_Long_Pct,Spread_Width,Target_Binary,Expiry_Return_From_Entry
2026-02-04,4146.28,4120.51,-0.0226216884268865,0.2222222222222222,0.4816977999999999,-0.0469624076067746,4119.81,0.000169910748311,0.0174078610729704,0.0075825634644001,0.006425053582568,1,0.035163570771804986,0.047891887218064255,0.07154540891821126,4022.762,3962.8559999999998,0.02429872808781619,0.039782924234441186,0.007038345597802642,0.007060615816213833,2026-02-27,4128.36,23,4160.0,4170.0,0.009583765116453868,0.012010649167214726,10.0,1,0.0019051039798470004
2026-02-05,4087.71,4039.01,0.0011732813157443,0.3333333333333333,0.5240241999999999,0.0022389830770111,4120.51,-0.0197791050136997,0.000169910748311,0.0142784097846142,-0.0079601796864952,0,0.015114844164298091,0.016548124210346238,0.050244683783263744,4029.3370000000004,3972.5175000000004,0.002400643083465104,0.016738126389625574,0.01011818842046144,0.008757514873000161,2026-02-27,4128.36,22,4080.0,4090.0,0.010148526495354027,0.012624380726960371,10.0,0,0.02212175755940171
2026-02-06,4046.25,4051.87,0.0185197923430384,0.7777777777777778,0.5240241999999999,0.0353414829754778,4039.01,0.0031839485418456,-0.0197791050136997,0.0141751858394554,0.0017925184636828,1,0.012038954259466994,0.016364699006429007,0.057780365170445824,4035.861,3983.5840000000003,0.003966687653514267,0.017141850153027827,0.010115017413746643,0.008625140488286396,2026-02-27,4128.36,21,4090.0,4100.0,0.009410469733727833,0.011878465992245513,10.0,0,0.0188777033814016
2026-02-09,4104.28,4119.77,0.0060720473694836,0.6666666666666666,0.5240241999999999,0.0115873415187384,4051.87,0.0167576945953351,0.0031839485418456,0.0151846108694097,0.0129347683908911,1,0.017397982871198092,0.028489758216519334,0.06791488346894714,4047.273,3996.684,0.017912554947491888,0.030797030738482167,0.011177655612985867,0.00913103497254046,2026-02-27,4128.36,18,4160.0,4170.0,0.009765108246334142,0.012192428218080087,10.0,1,0.0020850678557295943
2026-02-10,4124.37,4193.47,0.0001147368068365,0.6666666666666666,0.5240241999999999,0.0002189532598618,4119.77,0.0178893481917679,0.0167576945953351,0.015295601674617,0.001116567187003,1,0.017879465315147947,0.04592004708980979,0.07964203051906082,4065.684,4012.1510000000003,0.03143038170207024,0.04519246658463261,0.012099167316643587,0.00967286796900667,2026-02-27,4128.36,17,4240.0,4250.0,0.011095822791149068,0.013480482750562128,10.0,1,-0.015526520995738702
2026-02-11,4183.08,4160.4,0.0019934569910397,0.4444444444444444,0.5240241999999999,0.0038041315478172,4193.47,-0.0078860704857792,0.0178893481917679,0.0161533353811825,-0.0024776616978302,0,0.009680840478484276,0.045184824169584914,0.07591172165529647,4083.6699999999996,4026.828,0.018789471235432842,0.033170525286900565,0.012176264844496975,0.009857582742730587,2026-02-27,4128.36,16,4200.0,4210.0,0.009518315546582112,0.011921930583597806,10.0,1,-0.007701182578598198
2026-02-12,4178.77,4190.56,-0.0075054733749417,0.2222222222222222,0.5240241999999999,-0.0143227610002394,4160.4,0.0072493029516393,-0.0078860704857792,0.0105953654897508,0.0044154408229979,1,0.03752157087999297,0.053203547740941604,0.066712825316662,4104.839000000001,4039.932,0.020882914043644396,0.03728478598154639,0.012073346971360123,0.009474569050449199,2026-02-27,4128.36,15,4230.0,4240.0,0.00941162994921907,0.011797945859264525,10.0,1,-0.014842884960482805
2026-02-13,4175.74,4170.22,-0.0012328565840015,0.4444444444444444,0.5240241999999999,-0.0023526710865673,4190.56,-0.0048537665610324,0.0072493029516393,0.0119282255373193,-0.0035365201786874,0,0.029208735719556733,0.04159933261232829,0.05217450541576363,4121.494000000001,4050.2715000000003,0.011822411970028313,0.02961492828320278,0.012476659734882028,0.009543958564041477,2026-02-27,4128.36,14,4210.0,4220.0,0.009539065085295118,0.011937020109250795,10.0,1,-0.010037839730278164
2026-02-17,4173.75,4196.3,0.012711120858607,0.5555555555555556,0.5240241999999999,0.0242567439797761,4170.22,0.006253866702476,-0.0048537665610324,0.0103423483561587,0.0008464781234562,1,0.018576279743772073,0.036297452411762965,0.0564942307353391,4136.192,4061.4910000000004,0.014532207402364383,0.03319199771709447,0.012248489925790508,0.009578032168170042,2026-02-27,4128.36,10,4240.0,4250.0,0.0104139360865525,0.012796987822605521,10.0,1,-0.01619045349474546
2026-02-18,4208.99,4232.65,-0.0019390627960111,0.5555555555555556,0.5240241999999999,-0.0037003306259731,4196.3,0.0086623930605531,0.006253866702476,0.0076596441205685,0.0030240926530513,1,0.009343097720980298,0.027389612627766624,0.071988471308704,4147.476000000001,4075.703,0.020536345478550988,0.03850795801362361,0.011441830670196593,0.009433813057433717,2026-02-27,4128.36,9,4270.0,4280.0,0.008824259033938686,0.011186845120669142,10.0,1,-0.0246394102985128
